# Ghidra program: NewWorld 3-26
# Query: ^class Javelin::[A-Za-z0-9_:]+DataManager$
# class|module-relative RTTI0
Javelin::AbilityDataManager|NewWorld+0xa1857f8
Javelin::AchievementDataManager|NewWorld+0xa167b40
Javelin::AchievementMetaDataManager|NewWorld+0xa2104a8
Javelin::AffixDataManager|NewWorld+0xa19b7e8
Javelin::AITargetingDataManager|NewWorld+0xa1ff0a0
Javelin::AmmoItemDataManager|NewWorld+0xa211700
Javelin::AppearanceTransformDataManager|NewWorld+0xa1963e8
Javelin::ArchetypeDataManager|NewWorld+0xa19cb60
Javelin::ArenaPvpBalanceDataManager|NewWorld+0xa212140
Javelin::ArmorAppearanceDataManager|NewWorld+0xa13c638
Javelin::ArmorItemDataManager|NewWorld+0xa2116c8
Javelin::ArmorOffsetDataManager|NewWorld+0xa219d20
Javelin::BeamDataManager|NewWorld+0xa219e10
Javelin::BlueprintItemDataManager|NewWorld+0xa2035c8
Javelin::BuffBucketDataManager|NewWorld+0xa1b3ec8
Javelin::CameraSettingsDataManager|NewWorld+0xa13c6a8
Javelin::CameraShakeDataManager|NewWorld+0xa16a5d0
Javelin::CampSkinDataManager|NewWorld+0xa203590
Javelin::CaptureTheFlagPvpBalanceDataManager|NewWorld+0xa212300
Javelin::CategoricalProgressionDataManager|NewWorld+0xa167ad0
Javelin::CategoricalProgressionRankDataManager|NewWorld+0xa181620
Javelin::CharacterAttributeDataManager|NewWorld+0xa1769c0
Javelin::CharmFilterDataManager|NewWorld+0xa219c40
Javelin::CinematicVideoStaticDataManager|NewWorld+0xa194728
Javelin::ClaimPrismDataManager|NewWorld+0xa13c320
Javelin::CollectibleStaticDataManager|NewWorld+0xa1cc8d0
Javelin::CombatProfilesDataManager|NewWorld+0xa192058
Javelin::CombatSettingsDataManager|NewWorld+0xa210b38
Javelin::ConsumableItemDataManager|NewWorld+0xa211770
Javelin::ContributionDataManager|NewWorld+0xa1ac408
Javelin::ConversationStateDataManager|NewWorld+0xa1cc988
Javelin::ConversationTopicDataManager|NewWorld+0xa1cc9c8
Javelin::CostumeChangeDataManager|NewWorld+0xa1c8978
Javelin::CraftingCategoryDataManager|NewWorld+0xa219d58
Javelin::CrestPartDataManager|NewWorld+0xa212718
Javelin::CurrencyExchangeDataManager|NewWorld+0xa1ce008
Javelin::CurseMutationStaticDataManager|NewWorld+0xa1ae668
Javelin::CustomizableCharacterDataManager|NewWorld+0xa1c4cc0
Javelin::CutsceneCameraDataManager|NewWorld+0xa19d870
Javelin::DamageDataManager|NewWorld+0xa16a380
Javelin::DarknessDataManager|NewWorld+0xa173ba8
Javelin::DifficultyScalingDataManager|NewWorld+0xa19fd78
Javelin::DiminishingReturnsDataManager|NewWorld+0xa219f98
Javelin::DivertedLootDataManager|NewWorld+0xa1cc898
Javelin::DuelPvpBalanceDataManager|NewWorld+0xa212180
Javelin::DyeColorDataManager|NewWorld+0xa180f90
Javelin::DyeItemDataManager|NewWorld+0xa180f58
Javelin::DynamicDifficultyDataManager|NewWorld+0xa219b90
Javelin::EconomyTrackerDataManager|NewWorld+0xa1a3298
Javelin::ElementalMutationPerksStaticDataManager|NewWorld+0xa1b3e80
Javelin::ElementalMutationStaticDataManager|NewWorld+0xa1b2400
Javelin::EmoteDataManager|NewWorld+0xa1a3308
Javelin::EncumbranceDataManager|NewWorld+0xa219a70
Javelin::EntitlementDataManager|NewWorld+0xa17ffc0
Javelin::EquipmentSetDataManager|NewWorld+0xa1c88d0
Javelin::EquipTypesDataManager|NewWorld+0xa1c8940
Javelin::ExpansionDataManager|NewWorld+0xa219bd0
Javelin::ExperienceDataManager|NewWorld+0xa176a00
Javelin::FactionControlDataManager|NewWorld+0xa1a5f98
Javelin::FactionDataManager|NewWorld+0xa1a5f60
Javelin::FactionStatusEffectDataManager|NewWorld+0xa219d98
Javelin::FFAZonePvpBalanceDataManager|NewWorld+0xa2121b8
Javelin::FishBehaviorDataManager|NewWorld+0xa1a72e8
Javelin::FishingBaitDataManager|NewWorld+0xa1a7270
Javelin::FishingCatchableDataManager|NewWorld+0xa1a72a8
Javelin::FishingHotspotDataManager|NewWorld+0xa17f960
Javelin::FishingPoleDataManager|NewWorld+0xa1816a0
Javelin::FishingWaterDataManager|NewWorld+0xa1a7238
Javelin::FlexibleMissionBoardDataManager|NewWorld+0xa1ad0a8
Javelin::FriendsDataManager|NewWorld+0xa217100
Javelin::GameEventDataManager|NewWorld+0xa174f10
Javelin::GameModeDataManager|NewWorld+0xa176988
Javelin::GameModeMapDataManager|NewWorld+0xa17dd98
Javelin::GameModeSchedulerDataManager|NewWorld+0xa176948
Javelin::GatherableDataManager|NewWorld+0xa1a32d0
Javelin::GenericInviteStaticDataManager|NewWorld+0xa1b5280
Javelin::GovernanceDataManager|NewWorld+0xa189868
Javelin::HouseTypeDataManager|NewWorld+0xa1c0aa8
Javelin::HunterSightDataManager|NewWorld+0xa1c4c88
Javelin::InfluenceTowerDataManager|NewWorld+0xa1a7200
Javelin::InputProfileDataManager|NewWorld+0xa219ef8
Javelin::InteractionAnimationDataManager|NewWorld+0xa1919f8
Javelin::ItemConversionDataManager|NewWorld+0xa181668
Javelin::ItemDataManager|NewWorld+0xa167b78
Javelin::ItemSkinDataManager|NewWorld+0xa1c8178
Javelin::ItemTransformDataManager|NewWorld+0xa196f50
Javelin::KitItemDataManager|NewWorld+0xa19b818
Javelin::LeaderboardDataManager|NewWorld+0xa17f928
Javelin::LeaderboardRewardsDataManager|NewWorld+0xa1ca430
